Sr No, Blood Bank Name, State,District, City,Population,Donors,A+,A-,B+,B-,AB+,AB-,O+,O-,Boold Unit(ltr), Address,Pincode, Mobile, Email, Category, Blood Component Available, Service Time
715,S. N. Chakraborty Memorial Chakraborty Nursing Home Blood Bank,Jharkhand,Dhanbad,Dhanbad,217974,7555,328,861,1819,804,1362,635,881,865,3986,"Debraj Complex, Dhansar, Dhanbad",318503,6250756191,ranjansnh6@gmail.com,Private,YES,24x7
716,Dwarka Das Jalan Memorial Hospital Bartand Blood Bank ,Jharkhand,Dhanbad,Dhanbad,107022,7412,281,1840,1801,1734,540,81,356,779,2819,"Blood Bank Dwarka Das Jalan Memorial Hospital Bartand, Dhanbad",254024,9232313068,jalanbloodbank@gmail.com,Government,YES,24x7
717,Dumka Sadar Hospital Blood Bank ,Jharkhand,Dumka,Dumka,52865,10462,1904,1961,786,1325,1970,524,738,1254,4009,"Near Town Hall, Dumka",245263,7739886029,bloodbankdumka@gmail.com,Government,NO,24x7
718,MGM Medical College Hospital Campus Blood Bank Jamshedpur,Jharkhand,East Singhbhum,Jamshedpur,217841,8589,1668,107,209,949,1251,1487,1854,1064,1000,"Sakchi, Jamshedpur",433898,6268132590,bloodbankmgm@rediffmail.com,Private,NO,24x7
719,Jamshedpur Blood Bank ,Jharkhand,East Singhbhum,Jamshedpur,138450,4826,1874,289,11,682,178,1101,603,88,3572,"Stocking Road, Northern Town. Bistupur",505243,7067866682,jbbjsr@gmail.com,Charity,YES,12x7
720,Garhwa Sadar Hospital Campus Blood Bank ,Jharkhand,Garhwa,Garhwa,155947,8443,1706,1492,321,1813,149,617,1984,361,4524,"Blood Bank, Sadar Hospital Garhwa",230002,9204128559,bloodbankgarhwa@yahoo.in,Government,YES,24x7
721,Giridih Sadar Hospital Blood Bank ,Jharkhand,Giridih,Giridh,54773,7315,21,786,1842,1474,341,520,691,1640,2482,"Blood Bank, Sadar Hospital Giridih",210407,9329326779,bloodbankgrd@gmail.com,Charity,YES,24x7
722,Gumla Sadar Hospital Blood Bank ,Jharkhand,Gumla,Gumla,128265,8869,1408,1324,7,1002,1866,1651,1066,545,959,"Blood Bank, Sadar Hospital Gumla, Jharkhand",261807,9758946818,bloodbankgumla@gmail.com,Private,YES,24x7
723,Hazaribag Sadar Hospital Blood Bank ,Jharkhand,Hazaribagh,Hazaribagh,32294,8767,495,1801,1627,194,1842,1419,921,468,1952,"Blood Bank, Sadar Hospital Campus Hazaribag",509177,9244692347,r.khairihzb@gmail.com,Government,NO,24x7
724,TISCO West Bokaro Hospital Blood Bank ,Jharkhand,Hazaribagh,Hazaribagh,32878,5513,1896,1111,132,50,120,210,1680,314,1249,"Blood Bank, TISCO West Bokaro Hospital, Ghatotand, Hazaribagh",502892,7823806397,sindhubaksi@gmail.com,Charity,NO,24x7
725,Koderma Sadar Hospital Blood Bank ,Jharkhand,Koderma,Koderma,81618,9332,1649,1281,418,1937,94,1811,1977,165,3671,"Blood Bank, Sadar Hospital Koderma",505870,8775675051,zafar.kod@gmail.com,Government,NO,24x7
726,Latehar Sadhar Hospital Blood Bank,Jharkhand,Latehar,Latehar,109937,7954,889,1200,1327,1626,481,1224,880,327,1698,"Sub-Divisional Hospital Blood Bank, Latehar",318195,9980181041,bloodbanklatehar@gmail.com,Government,YES,12x7
727,Lohardaga Sadar Hospital Blood Bank ,Jharkhand,Lohardaga,Lohardaga,59751,9784,1755,678,1173,1263,1484,975,545,1911,3154,"Blood Bank, Sadar Hospital Lohardagga",498860,9690803573,curewell@gmail.com,Government,YES,24x7
728,Pakur Sadar Hospital Blood Bank ,Jharkhand,Pakur,Daltonganj,237825,7137,1704,1422,1598,576,388,117,1129,203,4408,,422067,7578602290,cs.pakur@gmail.com,Charity,YES,24x7
729,Palamu Sadar Hospital Blood Bank ,Jharkhand,Palamu,Daltonganj,188802,8592,1101,1146,1108,1759,1159,82,409,1828,2997,"Daltonganj, palamau",425878,8557801230,bloodbankpalamau@gmail.com,Charity,NO,24x7
730,CCL Hospital Blood Bank Ramgarh,Jharkhand,Ramgarh,Ramgarh,53910,8130,1050,1045,203,697,1549,301,1509,1776,4720,"Blood Bank, CCL Hospital, Nai Sarai Ramgarh Cantt, Argada Road",283012,7253741482,krarvind_dr@yahoo.co.in,Private,YES,24x7
731,Military Hospital Blood Bank Ramgarh,Jharkhand,Ramgarh,Ramgarh,92929,9801,1052,1618,1403,84,81,1895,1932,1736,2756,"Blood Bank, Military Hospital, Ramgarh Cantt, Ramgarh",300276,9671691142,,Government,YES,24x7
732,Apurva Blood Bank Ramgarh,Jharkhand,Ramgarh,Ramgarh,39918,7279,498,1569,1725,603,1689,359,23,813,2318,Apoorva Blood Bank Ramgarh,271683,7451410457,,Government,NO,24x7
733,"Heavy Engineering Corporation, Plant Hospital Blood Bank",Jharkhand,Ranchi,Ranchi,84271,8631,216,1427,1656,683,809,1510,377,1953,887,"Sector III, HEC Campus, Opposite JSCA Stadium, Ranchi",456579,8802432471,cmo@heclltd.com,Private,NO,24x7
734,"Rajendra Institute of Medical Science (RIMS) Blood Bank, Bariyatu",Jharkhand,Ranchi,Ranchi,46757,5265,173,1426,313,680,74,1273,1032,294,841,"Bariatu, Ranchi, Jharkhand",261916,7775684058,bldbnkrims@gmail.com,Charity,YES,12x7
735,CCL Hospital Blood Bank Ranchi,Jharkhand,Ranchi,Ranchi,193162,7067,452,1658,1463,1732,1154,304,118,186,1715,"Central Hospital,CCL, Gandhi Nagar, Kanka Rd, Ranchi ",336118,9624044705,kdas401@gmail.com,Government,YES,24x7
736,Indian Red Cross Society (IRCS) Blood Bank Morabadi,Jharkhand,Ranchi,Ranchi,231015,7123,1307,1878,70,136,474,1303,1384,571,4670,"Morabadi, Near Hockey Stadium, Ranchi",339520,8091123364,redcrosssocietyranchi@gmail.com,Charity,YES,24x7
737,Abdur Razzaque Memorial Weavers Hospital (ARAM) Blood Bank ,Jharkhand,Ranchi,Ranchi,234667,8652,754,777,1229,1913,810,551,1704,914,4090,"Blood Bank, ARAM Apollo Hospital, IRBA, Ranchi",396691,9035941222,jh.bb.medantarnc@gmail.com,Private,YES,24x7
738,Nagarmal Modi Seva Sadan Hospital Blood Bank,Jharkhand,Ranchi,Ranchi,129111,9441,1890,988,1973,1044,964,1331,920,331,1370,"Blood Bank, Nagarmal Modi Seva Sadan Hospital, Upper Bazar, Ranchi",249615,6428031619,,Government,NO,24x7
739,Rinchi Trust Hospital Blood Bank,Jharkhand,Ranchi,Ranchi,47581,10226,1644,1729,1339,783,1744,1133,115,1739,547,"Rinchi Trust Hospital Blood Bank, Kathal More, Itki Road, Ranchi.",501086,6491819125,nirajkkmr@gmail.com,Charity,NO,24x7
740,Devkamal Hospital and Research Centre Blood Bank,Jharkhand,Ranchi,Ranchi,243852,8236,1573,505,405,1053,120,1318,1888,1374,364,"Bajra Bazar, Bajra, Near IIT Bus Stand, Itki Road",234313,8224089906,devkamalhospicare@gmail.com,Government,NO,24x7
741,Gurunanak Hospital and Research Centre Blood Bank ,Jharkhand,Ranchi,Ranchi,54210,8992,1379,129,1519,1730,1335,1961,813,126,4552,"Gurunanak Hospital and Research Centre Blood Bank Unit, Station Road, Ranchi.",436110,8303066330,gnhrebloodbank@gmail.com,Government,YES,12x7
742,Sainik Hospital Blood Bank Namkum,Jharkhand,Ranchi,Ranchi,195707,7797,1086,169,352,1866,1616,1759,622,327,412,"Blood Bank, Sainik Hospital, Namkum, Ranchi",470575,8016580716,,Government,YES,24x7
743,Birsa Blood Bank Bariyatu,Jharkhand,Ranchi,Ranchi,178552,7796,1094,220,1440,301,1975,15,840,1911,490,"RIMS Colony, Near Hill View Nursing Home, Bariyatu
",380976,9879470818,birsabloodbankbariaturanchi@gmail.com,Charity,YES,24x7
744,Jharkhand Blood Bank Bariatu ,Jharkhand,Ranchi,Ranchi,140040,5756,1119,1474,1253,264,100,78,426,1042,4911,"Jharkhand Blood Bank, S. R. Complex,  Near Bariatu Masjid, Bariatu",297957,7811198191,jharkhandbloodbank2004@gmail.com,Charity,NO,24x7
745,Archi Blood Bank Jharkhand ,Jharkhand,Ranchi,Ranchi,112415,9060,1732,1432,595,1717,757,1251,673,903,4880,"Baxi Avenew, Dr. J. Sharan Lane Bariatu Ranchi",393551,6313666830,,Private,YES,24x7
746,Sahebganj Sadar Hospital Blood Bank ,Jharkhand,Sahebganj,Sahebganj,64988,6726,449,1645,621,1768,17,1352,369,505,1655,"Blood Bank, Sadar Hospital, Sahebganj",459204,8540542940,bloodbanksbg@gmail.com,Government,YES,24x7
747,Simdega Sadar Hospital Blood Bank ,Jharkhand,Simdega,Simdega,147394,8651,722,911,1767,1862,195,1591,423,1180,1423,"Blood Bank, Sadar Hospital Simdega ",418075,6615590042,bloodbanksimdega@gmail.com,Government,NO,24x7
748,Chaibasa Sadar Hospital Blood Bank ,Jharkhand,West Singhbhum,Chaibasa,186138,7749,14,523,1560,81,1287,1396,1328,1560,3065,"Blood Bank, Sadar Hospital Chaibasa, West Singhbhum ",210790,7625898851,bbchaibasa@gmail.com,Private,NO,24x7
749,Kiriburu Meghahatuburu General Hospital Blood Bank,Jharkhand,West Singhbhum,KIRIBURU,62570,9559,216,1736,644,871,1647,1452,1183,1810,1474,Kiriburu Iron Ore Mines,437719,7597597442,jh.bb.sailkiriburu@gmail.com,Charity,YES,12x7
750,TATA (TISCO) Hospital Blood bank,Jharkhand,West Singhbhum,Noamundi,65143,9399,1371,1362,1671,647,494,1480,1718,656,2803,"Blood Transfusion Unit, TISCO Hospital, Noamundi, Chaibasa",492336,8663032440,,Government,YES,24x7
751,Bagalkot Blood Bank,Karnataka,Bagalkot,Bagalkot,117714,7568,218,653,302,1736,827,1600,1708,524,4213,"Hanagal Shree Kumareshwar Hospital and Research Centre, Ilkal Road",452039,7384488413,,Charity,YES,24x7
752,B. V. V. Sanghas HSK Hospital Blood Bank,Karnataka,Bagalkot,Bagalkot,87109,8573,792,234,1973,1986,1458,887,119,1124,715,"Navanagar, Bagalkot",374743,8824719028,,Private,YES,24x7
753,District Hospital Blood Bank Bagalkot,Karnataka,Bagalkot,Bagalkot,43065,8265,1151,415,859,1048,825,1516,756,1695,597,Navanagar,267190,8382955074,,Government,NO,24x7
754,M/s. Vijay Mahant Blood Bank,Karnataka,Bagalkot,Ilkal,243235,8103,1252,421,1691,1506,792,436,1432,573,4303,"Sri Basaveshwara Childrens Hospital & Research Centre,
Gorbal Naka",245484,6770803740,vijayamahantbloodbank@gmail.com ,Charity,NO,24x7
755,Mounesh Hospital&#39;s The Jhamkandi Blood Bank,Karnataka,Bagalkot,Jamkhandi,119707,10118,1978,268,1129,1547,1563,1479,1109,1045,1201,"Near P.B. High School, Uma Rameshwar Road",476466,7086681041,,Government,NO,24x7
756,Ramanagoudar Hospital Blood Bank,Karnataka,Bagalkot,Mudhol,144241,6151,978,862,917,111,379,1014,544,1346,4805," 2nd floor, CTS, No.4042/B17, Near Kathi Kalyan Mantap ",304728,8655056788,,Government,YES,12x7
757,M/s. Sai Aadhar Hospital Blood Bank,Karnataka,Bagalkot,Mudhol,224281,7264,265,1939,387,1105,1371,1814,374,9,348,"Sai Aadhar Hospital, Yadwad Road",259738,7497765658,saiaadhar2010@gmail.com,Government,YES,24x7
758,K.L.E.Society & Medical Research Centre Blood Bank,Karnataka,Belgaum,Belgaum,189473,8593,1315,1866,1495,1298,457,1332,171,659,1749,Nehru Nagar,339577,6875260835,,Charity,YES,24x7
759,Belgaum Blood Bank and Diagnostic Laboratory,Karnataka,Belgaum,Belgaum,205544,9063,191,1451,1354,1839,506,1688,363,1671,3761,"3137, Huns Talkies Road, (opposite to Central High School)",307576,8833922966,,Charity,NO,24x7
760,District Hospital Blood Bank,Karnataka,Belgaum,Belgaum,42591,7594,1923,201,1205,427,1719,947,632,540,4153,Dr. B. R. Ambedkar Road,487965,6307173871,,Private,YES,24x7
761,Shree Mahaveer Blood Bank,Karnataka,Belgaum,Belgaum,202938,6517,1290,865,931,1262,223,1335,546,65,1158," 4th Floor, Radio Complex, CTS No. 116/1A, Shivaji Road",230156,6878444068,,Government,YES,24x7
762,M/s. Sri Sai Blood Bank,Karnataka,Belgaum,Belgaum,84137,9423,1177,1075,1381,28,1304,1803,1347,1308,1444,"Shri Sai Hospital, No:40/2, Laxmi Nagar Main Road,
Vadagaon",253880,8273649613,,Government,NO,24x7
763,Rotary Charitable Trust Blood Bank,Karnataka,Belgaum,Chikkodi,177142,6805,987,767,1865,94,1811,528,589,164,4654,"New Extension Area, Nippani",381724,7915254801,,Private,NO,24x7
764,Rotary Seva Sangh Blood Bank,Karnataka,Belgaum,Gokak,185900,11510,829,1799,886,1784,1580,1395,1400,1837,425," R. S. No. 211/B, Plot No. 14C, Yogikolla Road",294509,7342629152,,Charity,YES,12x7
765,Medical College Hospital Blood Bank,Karnataka,Bellary,Bellary,195141,9847,1503,1747,1648,1217,15,1289,1973,455,3752,"Vijayanagara Institute of Medical Science (VIMS), Bellary",282628,9392340735,,Government,YES,24x7
766,District Hospital Blood Bank Bellary,Karnataka,Bellary,Bellary,170314,7616,1624,763,382,395,264,1569,1838,781,4476,Bellary.,418262,6253029691,,Charity,YES,24x7
767,Swamy Vivekananda Charitable Blood Bank,Karnataka,Bellary,Bellary,57516,7875,130,1559,499,443,1748,1683,109,1704,796,"D. No.130, Near TVS Show Room, Parvathinagar Main Road",330951,7072192136,,Private,YES,24x7
768,Smt. Vasantidevi Baldota Blood Bank,Karnataka,Bellary,Hospet,150544,8416,769,616,1729,1834,278,1493,493,1204,3625,"Baldota Colony, Dam Road, Hospet",342333,8247176142,,Government,NO,24x7
769,Chiranjeevi Blood Bank,Karnataka,Bellary,Hospet,142321,5372,423,1062,662,869,778,807,745,26,2694,"Near Vijayanagara Colony, 100 Bed Hospital Road, Amaravathi",471040,8087767086,,Charity,NO,24x7
770,M/s. Sri Siddartha Medical College Hospital Blood Bank,Karnataka,Bengaluru Rural,Bangalore,81563,9079,1792,1283,1938,840,850,232,453,1691,4632,"Sri Siddhartha Medical College & Hospital, T.Begur, Nelamangala Tq",236634,9210427520,,Government,NO,24x7
771,MVJ Medical College and Research Hospital Blood Bank,Karnataka,Bengaluru Rural,Hosakote,239367,7029,497,914,1414,1027,1436,870,670,201,1435,"Dandupalya, Kolathur Post, NH-4",417972,8027720727,,Government,YES,24x7
772,BGS Global Hospitals Blood Bank,Karnataka,Bengaluru Rural,Kengeri,235057,5585,1539,1839,364,152,117,38,782,754,4587,"No. 67, Uttarahalli Road",228032,7124410158,,Government,YES,12x7
773,Harsha Hospital Blood Bank,Karnataka,Bengaluru Rural,Nelamangala,62206,8523,2,1771,871,1119,87,2000,1909,764,422,"No. 193/4, Byraveshwaranagar, Sondekoppa Circle, N.H.4, Bengaluru.",308325,7025175166,,Charity,YES,24x7
774,Narayana Hrudayalaya Blood Bank,Karnataka,Bengaluru Urban,Anekal Taluk,118359,6564,1929,534,273,991,625,594,708,910,1614,"University Medical Centre, (KMC) Hospital",304135,8188920462,,Charity,NO,24x7
775,Government Haji Sir Ismail Sait Gosha Hospital Blood Bank,Karnataka,Bengaluru Urban,Bangalore,142656,7282,1620,127,1394,1054,1242,353,1279,213,260,"Near KSPCB Limited, Tasker Town, Shivaji Nagar",254011,7954113837,,Private,YES,24x7
776,Swamy Vivekananda Voluntary Blood Bank,Karnataka,Bengaluru Urban,Bangalore,142824,8891,946,1153,915,766,639,1793,1701,978,2160,"No.20,3rd Floor, SGRR Complex, 1st Cross, Raja Ram Mohan Roy Road, S. R. Nagar",282861,6466908470,vivekanandabloodbank@gmail.com,Government,YES,24x7
777,M/s. Aster CMI Hospital Blood Bank,Karnataka,Bengaluru Urban,Bangalore,38968,4859,1819,792,533,554,482,126,284,269,1455,"43/2, Bellary Rd,NH-4,Sahakar Nagar, Hebbal",260325,8442580446,info@asterbangalore.com,Government,NO,24x7
778,M/s. East Point Hospital Blood Bank Virgonagar,Karnataka,Bengaluru Urban,Bangalore,236519,6779,1245,1544,282,109,831,567,719,1482,3328,"East Point college of Medical Sciences&Hospital, Janana Prabha Campus, Bidarahalli",412843,7789301914,,Private,NO,24x7
779,Unique Blood Bank & Diagnostic Centre,Karnataka,Bengaluru Urban,Bangalore,14005,7731,1480,747,3,586,1917,533,673,1792,3475,"1st floor,S.L.N.Complex, City Market Square",471396,6352931967,uniquebb92@gmail.com,Charity,YES,24x7
780,SHUSHRUTHA VOLUNTARY BLOOD BANK,Karnataka,Bengaluru Urban,Bangalore,100934,8482,851,1896,1799,1942,242,1028,691,33,1946,"The Blood Bank Medical officer
Sushrutha Voluntary Blood Bank,
No:875,Modi Hospital Road,  Near Pristine Hospital",509826,9571734841,,Government,YES,12x7
781,Bengaluru Blood Bank and Diagnostic Laboratory,Karnataka,Bengaluru Urban,Bengaluru,236465,8028,1944,395,1984,747,1424,496,509,529,4538,"Between 6th and 7th Cross, Opposite R.R.Gold Palace, Sampige Road,Malleshwaram",292707,9411333657,,Government,YES,24x7
782,Bengaluru Rotary TTK Medical Service Trust Blood Bank,Karnataka,Bengaluru Urban,Bengaluru,251688,6591,899,1132,408,360,1107,389,664,1632,2054,"New Thippasandra Main Road, HAL III Stage",335373,7994764521,,Government,NO,24x7
783,KIMS Hospital Blood Bank,Karnataka,Bengaluru Urban,Bengaluru,71949,7454,1459,563,556,200,1571,1528,1097,480,4928,"K. R. Road, Visveswarapuram,Near Makkala Koota Bus Stop",221696,6612408145,,Private,NO,24x7
784,Bangalore Baptist Hospital Blood Bank,Karnataka,Bengaluru Urban,Bengaluru,55795,11339,1252,1903,879,1634,704,1856,1239,1872,4879,"Bellary Road, Hebbal",234991,9575782139,,Charity,YES,24x7
785,Sanjaya Gandhi Accident Hospital and Research Institute Blood Bank,Karnataka,Bengaluru Urban,Bengaluru,202840,9322,1756,1007,621,653,1725,1857,883,820,919,"Jayanagar East, Byrasandra",329024,9046590962,,Government,YES,24x7
786,Victoria Hospital Blood Bank,Karnataka,Bengaluru Urban,Bengaluru,151883,8546,797,933,1669,1142,1452,1396,96,1061,3452,"Fort Road, Bengaluru",346733,6936298509,,Charity,YES,24x7
787,M. S. Ramaiah Medical Teaching Hospital Blood Bank,Karnataka,Bengaluru Urban,Bengaluru,145730,5339,924,1274,734,965,873,180,241,148,2486,Gokul Extension,470894,9611859813,,Private,YES,12x7
788,Saint Martha&#39;s Hospital Blood Bank,Karnataka,Bengaluru Urban,Bengaluru,241771,7959,1851,1170,75,1729,65,399,1312,1358,4076,Nrupatunga Road,492038,6463995628,,Government,NO,24x7
789,Kidwai Memorial Institute of Oncology Blood Bank,Karnataka,Bengaluru Urban,Bengaluru,244026,5097,791,965,107,595,911,1052,573,103,3267,Dr. M.H.Marigowda  Road,320927,8193461035,,Charity,NO,24x7
790,Transfusion Medicine Centre Blood Bank,Karnataka,Bengaluru Urban,Bengaluru,177911,9861,1701,600,586,1032,1207,1411,1657,1667,4762,NIMHANS Hosur Road,464498,9629765966,,Government,NO,24x7
791,St. John&#39;s Medical College Blood Bank,Karnataka,Bengaluru Urban,Bengaluru,13795,6935,110,1332,1220,1059,976,654,711,873,2375,"Sarjapur Road, Bengaluru",509628,8237473308,,Government,YES,24x7
792,Mallya Hospital Blood Bank,Karnataka,Bengaluru Urban,Bengaluru,30057,9393,1662,123,1882,689,1518,1250,476,1793,2379,"No.2, Vittal Mallya Road",296191,7209687448,,Government,YES,24x7
793,Hindustan Aeronautics Limited - HAL Hospital Blood Bank ,Karnataka,Bengaluru Urban,Bengaluru,169804,8480,1685,296,660,1461,1867,358,670,1483,1108,"Suranjandas Road, Near HAL Airport, Vimanapura",429925,9545663573,,Charity,YES,24x7
794,Saint Philomena Blood Bank,Karnataka,Bengaluru Urban,Bengaluru,145900,8374,1061,91,1929,1334,278,597,1293,1791,3296,"No.1, Nilsandra Road",481292,7925269038,,Charity,NO,24x7
795,K. C. General Hospital Blood Bank,Karnataka,Bengaluru Urban,Bengaluru,44439,8683,553,387,1713,1962,1109,1578,660,721,3005,Malleshwaram,461183,9018395054,,Private,YES,12x7
796,Command Hospital Blood Bank Air Force,Karnataka,Bengaluru Urban,Bengaluru,242091,9059,1747,1013,914,384,1291,63,1704,1943,1748,"Old Airport Road, Near Cambridge Layout, Domlur Village, Post Agram",232969,8380407595,,Government,YES,24x7
797,E.S.I.Hospital Blood Bank,Karnataka,Bengaluru Urban,Bengaluru,216486,7219,331,1296,913,1156,1105,627,1225,566,2029,Rajajinagar,222886,9730509673,,Government,NO,24x7
798,Rashtrotthana Blood Bank,Karnataka,Bengaluru Urban,Bengaluru,259918,8850,465,800,1484,1099,1706,1954,182,1160,1582,"93/2 Keshava Shilpa 1st Mn Road, Kempegowda Nagar ",226261,9632928604,,Private,NO,24x7
799,Dr. B. R.Ambedkar Medical College Hospital Blood Bank,Karnataka,Bengaluru Urban,Bengaluru,147899,6861,260,1692,1233,1941,153,163,157,1262,1001,"K.G.Halli, Bengaluru",293107,9944175045,,Charity,YES,24x7
800,Hosmat Hospital Unit of Phisicare Services Private Limited Blood Bank,Karnataka,Bengaluru Urban,Bengaluru,214485,6240,546,1818,317,336,294,913,373,1643,649,"No.45, Magrath Road, Off. Richmond Road",340122,9787209101,,Government,YES,24x7
801,Grace Blood Bank and Laboratory,Karnataka,Bengaluru Urban,Bengaluru,177441,9582,1077,1974,848,1150,1870,566,303,1794,4035,"2, 10th Cross, Ganganagar, Bengaluru",460298,8501278496,,Charity,YES,24x7
802,Sri Sathya Sai Institute of Higher Medical Sciences Blood Bank,Karnataka,Bengaluru Urban,Bengaluru,11137,8736,93,1557,1637,943,563,1428,528,1987,2309,"EPIP Area, Whitefield",491713,8753561520,,Private,YES,12x7
803,Navarang Blood Bank,Karnataka,Bengaluru Urban,Bengaluru,191263,9824,1556,755,1695,1660,1491,1263,221,1183,419,"No.2953, Ist Floor, Near Navarang Circle, M.K.K.Road, 
Rajaji Nagar, ",264185,8228334210,,Government,NO,24x7
804,Bangalore Lions Service Trust - Lions Blood Bank,Karnataka,Bengaluru Urban,Bengaluru,61749,8168,546,782,1709,1400,555,1564,51,1561,1296,"Bhagwan Mahaveer Jain Hospital, Millers Road, Vasantha Nagar",461412,7669304875,,Charity,NO,24x7
805,Sri Jayadeva Institute of Cardiology Blood Bank,Karnataka,Bengaluru Urban,Bengaluru,97707,9117,1715,172,1191,312,830,1668,1882,1347,3395,"Gurappanapaly Post, Banneraghatta Road",306965,6376271125,,Government,NO,24x7
806,Vydehi Institute of Medical Science Hospital Blood Bank,Karnataka,Bengaluru Urban,Bengaluru,209384,6387,1278,613,1278,479,899,921,630,289,2251,"EPIP AREA, 06 WHITE FIELD",307330,7372928655,,Government,YES,24x7
807,Akshay Voluntary Blood Bank,Karnataka,Bengaluru Urban,Bengaluru,248591,6953,94,769,1838,648,855,1219,1101,429,4040,"No. 968, 2nd Floor, 41st Cross, 3rd Block. Opposite E.S.I. Hospital, Rajajinagar",232215,9630664049,,Government,YES,24x7
